Week_Start_Date,Party,Spend_USD
2019-09-01,Republican,337500
2019-09-01,Other,964600
2019-09-01,Democratic,89600
2019-09-08,Democratic,114400
2019-09-08,Other,1523200
2019-09-08,Republican,380200
2019-09-15,Democratic,85900
2019-09-15,Other,1489300
2019-09-15,Republican,304400
2019-09-22,Republican,640800
2019-09-22,Other,1460800
2019-09-22,Democratic,67200
2019-09-29,Democratic,92900
2019-09-29,Other,1488400
2019-09-29,Republican,1292800
2019-10-06,Democratic,82500
2019-10-06,Other,1830200
2019-10-06,Republican,640200
2019-10-13,Republican,459600
2019-10-13,Other,2160700
2019-10-13,Democratic,153200
2019-10-20,Democratic,114600
2019-10-20,Other,2061900
2019-10-20,Republican,303900
2019-10-27,Democratic,97500
2019-10-27,Other,2191100
2019-10-27,Republican,344900
2019-11-03,Democratic,106900
2019-11-03,Other,2032400
2019-11-03,Republican,360700
2019-11-10,Democratic,87100
2019-11-10,Other,1909500
2019-11-10,Republican,557600
2019-11-17,Other,2447700
2019-11-17,Republican,439600
2019-11-17,Democratic,107300
2019-11-24,Democratic,89300
2019-11-24,Other,6443500
2019-11-24,Republican,332700
2019-12-01,Democratic,73000
2019-12-01,Other,5214000
2019-12-01,Republican,325000
2019-12-08,Other,4158600
2019-12-08,Democratic,67200
2019-12-08,Republican,562300
2019-12-15,Democratic,103000
2019-12-15,Other,5668200
2019-12-15,Republican,990600
2019-12-22,Other,3527900
2019-12-22,Republican,557500
2019-12-22,Democratic,75000
2019-12-29,Republican,546100
2019-12-29,Other,3707900
2019-12-29,Democratic,89100
2020-01-05,Democratic,71600
2020-01-05,Other,3470500
2020-01-05,Republican,323400
2020-01-12,Democratic,91000
2020-01-12,Other,4651200
2020-01-12,Republican,296700
2020-01-19,Democratic,163900
2020-01-19,Other,8365800
2020-01-19,Republican,355100
2020-01-26,Democratic,153700
2020-01-26,Other,6444300
2020-01-26,Republican,561400
2020-02-02,Other,7993800
2020-02-02,Republican,871600
2020-02-02,Democratic,221300
2020-02-09,Democratic,224900
2020-02-09,Other,8379200
2020-02-09,Republican,445700
2020-02-16,Democratic,224600
2020-02-16,Other,10235900
2020-02-16,Republican,278100
2020-02-23,Other,10395300
2020-02-23,Democratic,427200
2020-02-23,Republican,255100
2020-03-01,Democratic,1893200
2020-03-01,Other,9223100
2020-03-01,Republican,270900
2020-03-08,Other,1997300
2020-03-08,Republican,329300
2020-03-08,Democratic,515300
2020-03-15,Other,1840500
2020-03-15,Republican,639600
2020-03-15,Democratic,329700
2020-03-22,Other,1275100
2020-03-22,Republican,786400
2020-03-22,Democratic,114000
2020-03-29,Other,899300
2020-03-29,Republican,901900
2020-03-29,Democratic,113800
2020-04-05,Democratic,248900
2020-04-05,Other,956800
2020-04-05,Republican,598600
2020-04-12,Democratic,465300
2020-04-12,Other,1215000
2020-04-12,Republican,452700
2020-04-19,Republican,614900
2020-04-19,Other,1476300
2020-04-19,Democratic,411700
2020-04-26,Democratic,331900
2020-04-26,Other,1774900
2020-04-26,Republican,590900
2020-05-03,Democratic,236000
2020-05-03,Other,1485300
2020-05-03,Republican,559900
2020-05-10,Republican,1170600
2020-05-10,Other,1510600
2020-05-10,Democratic,329100
2020-05-17,Democratic,401200
2020-05-17,Other,1500700
2020-05-17,Republican,814500
2020-05-24,Democratic,487000
2020-05-24,Other,1476600
2020-05-24,Republican,1663300
2020-05-31,Republican,1716900
2020-05-31,Other,1580800
2020-05-31,Democratic,1273400
2020-06-07,Democratic,967600
2020-06-07,Other,1618200
2020-06-07,Republican,1485900
2020-06-14,Democratic,2279100
2020-06-14,Other,1822000
2020-06-14,Republican,1821100
2020-06-21,Republican,2400800
2020-06-21,Other,2031400
2020-06-21,Democratic,2609100
2020-06-28,Democratic,918300
2020-06-28,Other,1550100
2020-06-28,Republican,2331600
2020-07-05,Democratic,849300
2020-07-05,Other,1529600
2020-07-05,Republican,2934300
2020-07-12,Republican,3047000
2020-07-12,Other,2022000
2020-07-12,Democratic,783500
2020-07-19,Democratic,1115800
2020-07-19,Other,2325000
2020-07-19,Republican,3631800
2020-07-26,Democratic,1927200
2020-07-26,Other,2748500
2020-07-26,Republican,2890700
2020-08-02,Republican,3414400
2020-08-02,Other,2884300
2020-08-02,Democratic,2560600
2020-08-09,Democratic,4967700
2020-08-09,Other,3307000
2020-08-09,Republican,4155400
2020-08-16,Democratic,6648900
2020-08-16,Other,3846800
2020-08-16,Republican,9205900
2020-08-23,Republican,9397700
2020-08-23,Other,4197700
2020-08-23,Democratic,6461900
2020-08-30,Democratic,5628900
2020-08-30,Other,4530700
2020-08-30,Republican,4013500
2020-09-06,Democratic,5925200
2020-09-06,Other,6383000
2020-09-06,Republican,3464500
2020-09-13,Republican,4193200
2020-09-13,Other,8348200
2020-09-13,Democratic,9602500
2020-09-20,Democratic,11094800
2020-09-20,Other,11482700
2020-09-20,Republican,4279100
2020-09-27,Democratic,11807500
2020-09-27,Other,13609600
2020-09-27,Republican,7194900
2020-10-04,Republican,10975300
2020-10-04,Other,18277100
2020-10-04,Democratic,8873100
2020-10-11,Democratic,10167300
2020-10-11,Other,21780200
2020-10-11,Republican,11125900
2020-10-18,Democratic,14604500
2020-10-18,Other,26074500
2020-10-18,Republican,12689400
2020-10-25,Republican,11747900
2020-10-25,Democratic,13682300
2020-10-25,Other,33932000
2020-11-01,Democratic,5931800
2020-11-01,Other,16774900
2020-11-01,Republican,9635500
2020-11-08,Other,33600
2020-11-08,Republican,1600
2020-11-15,Other,48300
2020-11-15,Republican,0
2020-11-22,Other,36200
2020-11-22,Republican,5100
2020-11-29,Other,22400
2020-11-29,Republican,8500
2020-12-06,Republican,39200
2020-12-06,Democratic,100500
2020-12-06,Other,666200
2020-12-13,Other,4262500
2020-12-13,Republican,312200
2020-12-13,Democratic,592800
2020-12-20,Democratic,426100
2020-12-20,Other,5022700
2020-12-20,Republican,608700
2020-12-27,Democratic,289900
2020-12-27,Other,6539800
2020-12-27,Republican,1032500
2021-01-03,Republican,850500
2021-01-03,Other,4020700
2021-01-03,Democratic,165300
2021-01-10,Democratic,35100
2021-01-10,Other,194300
2021-01-10,Republican,18200
2021-01-17,Other,68500
2021-01-17,Republican,1200
2021-01-24,Other,57500
2021-01-24,Republican,2600
2021-01-31,Republican,500
2021-01-31,Other,48300
2021-02-07,Other,77700
2021-02-07,Republican,100
2021-02-14,Democratic,500
2021-02-14,Other,69000
2021-02-14,Republican,100
2021-02-21,Democratic,64900
2021-02-21,Other,127500
2021-02-21,Republican,26300
2021-02-28,Democratic,127900
2021-02-28,Other,301500
2021-02-28,Republican,47500
2021-03-07,Republican,55200
2021-03-07,Democratic,127700
2021-03-07,Other,427200
2021-03-14,Other,374300
2021-03-14,Republican,62400
2021-03-14,Democratic,122700
2021-03-21,Republican,36300
2021-03-21,Democratic,115000
2021-03-21,Other,397600
2021-03-28,Democratic,113000
2021-03-28,Other,530300
2021-03-28,Republican,28200
2021-04-04,Democratic,89600
2021-04-04,Other,491600
2021-04-04,Republican,44800
2021-04-11,Republican,51600
2021-04-11,Other,651800
2021-04-11,Democratic,65900
2021-04-18,Democratic,62200
2021-04-18,Other,662400
2021-04-18,Republican,74600
2021-04-25,Democratic,76200
2021-04-25,Other,693100
2021-04-25,Republican,71900
2021-05-02,Republican,34200
2021-05-02,Other,685900
2021-05-02,Democratic,85400
2021-05-09,Democratic,64400
2021-05-09,Other,656800
2021-05-09,Republican,40500
2021-05-16,Democratic,75200
2021-05-16,Other,708900
2021-05-16,Republican,40800
2021-05-23,Republican,37200
2021-05-23,Other,745200
2021-05-23,Democratic,245200
2021-05-30,Democratic,716000
2021-05-30,Other,765700
2021-05-30,Republican,43400
2021-06-06,Democratic,983800
2021-06-06,Other,801400
2021-06-06,Republican,66200
2021-06-13,Republican,128600
2021-06-13,Other,876200
2021-06-13,Democratic,384800
2021-06-20,Democratic,123300
2021-06-20,Other,756600
2021-06-20,Republican,321300
2021-06-27,Democratic,130700
2021-06-27,Other,452700
2021-06-27,Republican,306000
2021-07-04,Republican,272900
2021-07-04,Other,419100
2021-07-04,Democratic,163300
2021-07-11,Democratic,174200
2021-07-11,Other,564400
2021-07-11,Republican,389100
