Week_Start_Date,Party,Spend_USD
2024-09-01,Democratic,5715600
2024-09-01,Other,12007100
2024-09-01,Republican,3386500
2024-09-08,Democratic,12047100
2024-09-08,Other,16710800
2024-09-08,Republican,3942400
2024-09-15,Republican,4242100
2024-09-15,Other,22773000
2024-09-15,Democratic,7956500
2024-09-22,Democratic,8613300
2024-09-22,Other,28266300
2024-09-22,Republican,3784100
2024-09-29,Democratic,8771100
2024-09-29,Other,35547400
2024-09-29,Republican,2607200
2024-10-06,Republican,3164000
2024-10-06,Other,44713900
2024-10-06,Democratic,7681200
2024-10-13,Democratic,9031600
2024-10-13,Other,57008200
2024-10-13,Republican,4532300
2024-10-20,Democratic,9113600
2024-10-20,Other,67487800
2024-10-20,Republican,6578300
2024-10-27,Republican,9737300
2024-10-27,Other,86025400
2024-10-27,Democratic,11516700
2024-11-03,Democratic,6080400
2024-11-03,Other,40396200
2024-11-03,Republican,14933200
2024-11-10,Democratic,13300
2024-11-10,Other,1145200
2024-11-10,Republican,30700
2024-11-17,Republican,31500
2024-11-17,Other,1174400
2024-11-17,Democratic,4700
2024-11-24,Democratic,400
2024-11-24,Other,975300
2024-11-24,Republican,5200
2024-12-01,Democratic,3800
2024-12-01,Other,900100
2024-12-01,Republican,6300
2024-12-08,Republican,7500
2024-12-08,Democratic,2700
2024-12-08,Other,862200
2024-12-15,Democratic,2600
2024-12-15,Other,858300
2024-12-15,Republican,6400
2024-12-22,Democratic,4500
2024-12-22,Other,606900
2024-12-22,Republican,6100
2024-12-29,Republican,5400
2024-12-29,Other,611600
2024-12-29,Democratic,6500
2025-01-05,Democratic,2500
2025-01-05,Other,696300
2025-01-05,Republican,4500
2025-01-12,Democratic,4700
2025-01-12,Other,931700
2025-01-12,Republican,5300
2025-01-19,Republican,7200
2025-01-19,Other,1341500
2025-01-19,Democratic,50000
2025-01-26,Democratic,33700
2025-01-26,Other,1524200
2025-01-26,Republican,6900
2025-02-02,Democratic,28400
2025-02-02,Other,1452600
2025-02-02,Republican,10600
2025-02-09,Republican,8400
2025-02-09,Other,1635600
2025-02-09,Democratic,63700
2025-02-16,Democratic,81400
2025-02-16,Other,1860100
2025-02-16,Republican,13500
2025-02-23,Democratic,106100
2025-02-23,Other,1934100
2025-02-23,Republican,14000
2025-03-02,Republican,11800
2025-03-02,Other,2249800
2025-03-02,Democratic,169400
2025-03-09,Democratic,102400
2025-03-09,Other,2634400
2025-03-09,Republican,12500
2025-03-16,Democratic,60500
2025-03-16,Other,3334900
2025-03-16,Republican,15000
2025-03-23,Republican,45700
2025-03-23,Other,4631100
2025-03-23,Democratic,79800
2025-03-30,Democratic,83200
2025-03-30,Other,3787000
2025-03-30,Republican,23700
2025-04-06,Democratic,20400
2025-04-06,Other,2136300
2025-04-06,Republican,12900
2025-04-13,Republican,13300
2025-04-13,Other,2411100
2025-04-13,Democratic,15500
2025-04-20,Democratic,140000
2025-04-20,Other,2262100
2025-04-20,Republican,10000
2025-04-27,Democratic,188900
2025-04-27,Other,2120800
2025-04-27,Republican,6300
2025-05-04,Republican,4000
2025-05-04,Other,2160200
2025-05-04,Democratic,97800
2025-05-11,Democratic,82300
2025-05-11,Other,2542600
2025-05-11,Republican,20900
2025-05-18,Democratic,46500
2025-05-18,Other,2483800
2025-05-18,Republican,25600
2025-05-25,Republican,33300
2025-05-25,Democratic,53900
2025-05-25,Other,2523200
2025-06-01,Democratic,44300
2025-06-01,Other,3274000
2025-06-01,Republican,39600
2025-06-08,Democratic,44000
2025-06-08,Other,3948000
2025-06-08,Republican,12600
2025-06-15,Democratic,30400
2025-06-15,Other,3824800
2025-06-15,Republican,4900
2025-06-22,Democratic,35400
2025-06-22,Other,3459500
2025-06-22,Republican,12800
2025-06-29,Other,2187600
2025-06-29,Republican,10300
2025-06-29,Democratic,71100
2025-07-06,Democratic,64500
2025-07-06,Other,2101800
2025-07-06,Republican,7900
2025-07-13,Democratic,49900
2025-07-13,Other,2166700
2025-07-13,Republican,3800
2025-07-20,Other,2293800
2025-07-20,Democratic,46600
2025-07-20,Republican,3300
2025-07-27,Democratic,72500
2025-07-27,Other,3078300
2025-07-27,Republican,4900
2025-08-03,Other,2794300
2025-08-03,Republican,11200
2025-08-03,Democratic,119200
2025-08-10,Republican,17100
2025-08-10,Democratic,99100
2025-08-10,Other,2426800
2025-08-17,Democratic,74700
2025-08-17,Other,2742900
2025-08-17,Republican,19200
2025-08-24,Democratic,87300
2025-08-24,Other,3303800
2025-08-24,Republican,30300
2025-08-31,Democratic,79800
2025-08-31,Other,4347400
2025-08-31,Republican,51400
2025-09-07,Democratic,65900
2025-09-07,Other,5021600
2025-09-07,Republican,47000
2025-09-14,Republican,45300
2025-09-14,Democratic,94400
2025-09-14,Other,5911600
2025-09-21,Democratic,145300
2025-09-21,Other,7155000
2025-09-21,Republican,49700
2025-09-28,Democratic,191700
2025-09-28,Other,7278900
2025-09-28,Republican,96500
2025-10-05,Democratic,159000
2025-10-05,Other,7857800
2025-10-05,Republican,115100
2025-10-12,Other,8483700
2025-10-12,Democratic,165200
2025-10-12,Republican,104300
2025-10-19,Other,9043900
2025-10-19,Democratic,181400
2025-10-19,Republican,171600
2025-10-26,Other,11556900
2025-10-26,Democratic,171000
2025-10-26,Republican,812800
2025-11-02,Other,7089300
2025-11-02,Democratic,105400
2025-11-02,Republican,542100
2025-11-09,Other,2511400
2025-11-09,Democratic,45900
2025-11-09,Republican,18800
2025-11-16,Other,1367300
2025-11-16,Democratic,20900
2025-11-16,Republican,14800
